0 0 0,0 1,0 2,0 3,0 4,0 5,0 6,0 7,0
1 0 1,0 2,0 3,0 4,0 5,0 6,0 7,0 8,0
2 0 1,0 2,0 3,0 4,0 5,0 6,0 7,0 8,0
3 0 1,0 2,0 3,0 4,0 5,0 6,0 7,0 8,0
4 0 2,0 3,0 4,0 5,0 6,0 7,0 8,0 9,0
5 0 3,0 4,0 5,0 6,0 7,0 8,0 9,0 9,1
6 0 4,0 5,0 6,0 7,0 8,0 9,0 9,1 10,1
7 0 3,0 4,0 5,0 6,0 7,0 8,0 9,0 9,1
8 0 2,0 3,0 4,0 5,0 6,0 7,0 8,0 9,0
9 0 2,0 3,0 4,0 5,0 6,0 7,0 8,0 9,0
10 0 2,-1 2,0 3,0 4,0 5,0 6,0 7,0 8,0
11 0 2,0 3,0 4,0 5,0 6,0 7,0 8,0 9,0
12 0 3,0 4,0 5,0 6,0 7,0 8,0 9,0 9,-1
13 0 4,0 5,0 6,0 7,0 8,0 9,0 9,-1 8,-1
14 0 4,1 4,0 5,0 6,0 7,0 8,0 9,0 9,-1
15 0 3,1 4,1 4,0 5,0 6,0 7,0 8,0 9,0
16 0 3,1 4,1 4,0 5,0 6,0 7,0 8,0 9,0
17 0 3,1 4,1 4,0 5,0 6,0 7,0 8,0 9,0
18 0 3,1 4,1 4,0 5,0 6,0 7,0 8,0 9,0
19 0 3,1 4,1 4,0 5,0 6,0 7,0 8,0 9,0
20 0 3,2 3,1 4,1 4,0 5,0 6,0 7,0 8,0
21 0 4,2 3,2 3,1 4,1 4,0 5,0 6,0 7,0
22 0 3,2 3,1 4,1 4,0 5,0 6,0 7,0 8,0
23 0 3,2 3,1 4,1 4,0 5,0 6,0 7,0 8,0
24 0 3,2 3,1 4,1 4,0 5,0 6,0 7,0 8,0
25 0 3,2 3,1 4,1 4,0 5,0 6,0 7,0 8,0
26 0 4,2 3,2 3,1 4,1 4,0 5,0 6,0 7,0
27 0 3,2 3,1 4,1 4,0 5,0 6,0 7,0 7,1
28 0 3,1 4,1 4,0 5,0 6,0 7,0 7,1 6,1
29 0 2,1 3,1 4,1 4,0 5,0 6,0 7,0 7,1
30 0 3,1 4,1 4,0 5,0 6,0 7,0 7,1 6,1
31 0 3,2 3,1 4,1 4,0 5,0 6,0 7,0 7,1
